               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10425,            0.089263,            0.027955,             0.72782,            0.061412,            0.031489,            0.008491,            0.085168,             0.08348,            0.011493,            0.070652,           0.0032609,           0.0032609
                   1,            0.080452,              0.0658,            0.011211,             0.88491,              0.2171,             0.25406,            0.099917,            0.073006,             0.04841,           0.0089478,            0.040587,           0.0065289,           0.0065289
                   2,             0.07764,            0.059965,            0.011567,             0.80143,             0.13522,             0.17122,            0.063129,            0.069446,            0.052905,           0.0098355,            0.010456,            0.009731,            0.009731
                   3,            0.069052,            0.059095,            0.011186,              0.8338,              0.2121,             0.25163,              0.1018,            0.060756,            0.045606,           0.0088897,            0.009703,            0.009703,            0.009703
                   4,            0.058794,            0.055918,            0.011199,             0.53988,             0.44582,              0.3718,             0.17029,            0.050606,            0.045348,           0.0085372,            0.009703,            0.009703,            0.009703
                   5,            0.052018,            0.057592,            0.010464,             0.57247,             0.47652,             0.42409,             0.26196,            0.049738,            0.045789,           0.0082365,            0.009604,            0.009604,            0.009604
                   6,            0.047431,            0.053965,            0.010261,             0.63461,              0.4694,             0.43531,             0.26534,            0.045686,             0.04182,            0.007994,            0.009505,            0.009505,            0.009505
                   7,            0.045192,            0.052486,             0.00935,             0.76455,             0.49368,             0.51632,             0.30879,             0.03935,            0.040008,           0.0077242,            0.009406,            0.009406,            0.009406
                   8,            0.042569,            0.050732,           0.0091033,             0.82184,             0.49623,             0.55373,             0.35753,            0.033005,            0.038117,           0.0077135,            0.009307,            0.009307,            0.009307
                   9,            0.040968,             0.04985,           0.0088429,             0.82048,              0.5254,             0.56389,             0.35046,            0.037517,            0.038586,           0.0076116,            0.009208,            0.009208,            0.009208
                  10,            0.040271,            0.052406,            0.008077,             0.83889,             0.52666,             0.58469,             0.38817,            0.033118,            0.037493,           0.0068202,            0.009109,            0.009109,            0.009109
                  11,            0.038668,            0.051688,           0.0083687,             0.83476,             0.51701,              0.5958,             0.40035,            0.032265,            0.037858,           0.0065285,             0.00901,             0.00901,             0.00901
                  12,            0.036482,            0.051604,             0.00702,             0.88088,             0.52018,             0.58646,              0.3852,            0.031196,            0.037001,            0.006112,            0.008911,            0.008911,            0.008911
